Category,Website/Source,Niche,Contact_Info,Status,Value
Directory,Yellow Pages UAE,Logistics,Online Submission,Pending,High
Directory,Express Business Pakistan,General,Online Submission,Pending,High
Directory,Gulf Business Directory,Regional,Online Submission,Pending,Medium
Directory,Kuwait Business Guide,Regional,Online Submission,Pending,Medium
Directory,Saudi Business Search,Regional,Online Submission,Pending,High
Guest Post,Lading Cargo,Freight,ladingcargo.com/write-for-us,Pending,Very High
Guest Post,Expert Logistics AU,Transport,expertlogistics.com.au/write-for-us,Pending,High
Guest Post,Ananth Decodes,Supply Chain,jana.ananthakrishnan@gmail.com,Pending,High
Guest Post,Supply Chain Digital,Corporate,Editorial Team,Pending,Very High
Guest Post,FreightWaves (Community),Tech/Freight,Community Portal,Pending,Very High
Guest Post,Logistics Middle East,Regional,Editorial Team,Pending,Extreme
Guest Post,Arabian Business (Logistics),Regional,Editorial Team,Pending,Extreme
Forum,Quora (Logistics PK),QA,Direct Answer,Ongoing,Traffic
Forum,Reddit r/Logistics,Discussion,Direct Post,Ongoing,Traffic
Forum,Expat.com Kuwait,Community,Direct Post,Ongoing,Leads
Listing,Google Business Profile,Local,Dashboard,Verified,Critical
Listing,Bing Places,Local,Dashboard,Pending,High
Listing,Apple Maps Connect,Local,Dashboard,Pending,Medium
Citation,Crunchbase,Brand,Online Profile,Pending,High
Citation,Trustpilot,Reviews,Online Profile,Pending,High
Directory,Pakistan Export Directory,Gov/Trade,Online Submission,Pending,High
Directory,TradeKey,B2B,Online Submission,Pending,Medium
Directory,Alibaba (Company Profile),B2B,Online Submission,Pending,High
Guest Post,Global Trade Mag,Trade,Editorial Team,Pending,High
Guest Post,Inbound Logistics,Supply Chain,Editorial Team,Pending,High
Guest Post,Supply Chain Brain,Supply Chain,Editorial Team,Pending,High
Guest Post,Logistics Management,Corporate,Editorial Team,Pending,High
Guest Post,DC Velocity,Logistics,Editorial Team,Pending,High
Guest Post,Transport Topics,Freight,Editorial Team,Pending,High
Guest Post,American Shipper,Maritime,Editorial Team,Pending,High
Guest Post,Port Technology,Ports,Editorial Team,Pending,High
Guest Post,Shipping and Freight Resource,Educational,Editorial Team,Pending,High
Guest Post,Maritime Executive,Maritime,Editorial Team,Pending,High
Guest Post,Splash 247,Shipping,Editorial Team,Pending,High
Guest Post,Lloyd's List,Maritime,Editorial Team,Pending,Extreme
Guest Post,Journal of Commerce,Trade,Editorial Team,Pending,Extreme
Guest Post,Container News,Maritime,Editorial Team,Pending,High
Guest Post,World Cargo News,Freight,Editorial Team,Pending,High
Guest Post,Air Cargo News,Aviation,Editorial Team,Pending,High
Guest Post,Stat Times,Logistics,Editorial Team,Pending,High
Guest Post,Cargonews Asia,Regional,Editorial Team,Pending,High
Guest Post,Supply Chain Asia,Regional,Editorial Team,Pending,High
Guest Post,Logistics Insider India,Regional,Editorial Team,Pending,High
Guest Post,Freight News South Africa,Regional,Editorial Team,Pending,High
Guest Post,Australasian Transport News,Regional,Editorial Team,Pending,High
Guest Post,CanLogistics,Regional,Editorial Team,Pending,High
Guest Post,Logistics Manager UK,Regional,Editorial Team,Pending,High
Guest Post,EuroTransport,Regional,Editorial Team,Pending,High
Guest Post,Trans.info,Global,Editorial Team,Pending,High
Guest Post,Logistics Viewpoint,Tech,Editorial Team,Pending,High
